"Salesprice","Seller","Fueltype","Gearbox","Mileage","Year","Cartype","Drivetype","Horspower","Color","Brand","Modell","Region"
154900,"Företag","Bensin","Automat",6995,2019,"Halvkombi","Tvåhjulsdriven",96,"Silver","Volkswagen","polo","Östergötland"
279900,"Företag","Miljöbränsle/Hybrid","Automat",8584,2021,"Kombi","Tvåhjulsdriven",218,"Svart","Volkswagen","passat","Östergötland"
219900,"Företag","Bensin","Automat",10589,2021,"Kombi","Tvåhjulsdriven",131,"Silver","Volkswagen","golf","Östergötland"
339900,"Företag","Diesel","Automat",9471,2022,"Kombi","Fyrhjulsdriven",200,"Grå","Volkswagen","passat","Östergötland"
14000,"Privat","Bensin","Manuell",24021,2001,"Halvkombi","Tvåhjulsdriven",75,"Brun","Volkswagen","golf","Östergötland"
179800,"Företag","Diesel","Automat",15762,2014,"Familjebuss","Tvåhjulsdriven",141,"Silver","Volkswagen","sharan","Östergötland"
214900,"Företag","Diesel","Automat",13998,2018,"Kombi","Fyrhjulsdriven",191,"Vit","Volkswagen","passat","Östergötland"
174800,"Företag","Bensin","Manuell",3211,2018,"Halvkombi","Tvåhjulsdriven",111,"Svart","Volkswagen","golf","Östergötland"
259900,"Privat","Bensin","Automat",5400,2020,"Halvkombi","Tvåhjulsdriven",150,"Vit","Volkswagen","golf","Östergötland"
127900,"Företag","Diesel","Automat",20068,2014,"Suv","Fyrhjulsdriven",177,"Vit","Volkswagen","tiguan","Östergötland"
179800,"Företag","Miljöbränsle/Hybrid","Automat",16797,2019,"Kombi","Tvåhjulsdriven",157,"Vit","Volkswagen","passat","Östergötland"
54000,"Privat","Diesel","Manuell",22049,2011,"Halvkombi","Tvåhjulsdriven",90,"Röd","Volkswagen","polo","Östergötland"
199800,"Företag","Bensin","Automat",14834,2016,"Halvkombi","Tvåhjulsdriven",230,"Vit","Volkswagen","GTI","Östergötland"
27900,"Företag","Bensin","Automat",13800,2000,"Halvkombi","Tvåhjulsdriven",116,"Svart","Volkswagen","golf","Östergötland"
55000,"Privat","Diesel","Automat",24215,2011,"Coupé","Fyrhjulsdriven",170,"Vit","Volkswagen","passat","Östergötland"
339900,"Företag","Miljöbränsle/Hybrid","Automat",5999,2022,"Kombi","Tvåhjulsdriven",157,"Silver","Volkswagen","passat","Östergötland"
234700,"Företag","Bensin","Automat",7735,2018,"Suv","Fyrhjulsdriven",150,"Silver","Volkswagen","tiguan","Östergötland"
39900,"Företag","Bensin","Manuell",18600,2008,"Halvkombi","Tvåhjulsdriven",141,"Röd","Volkswagen","golf","Skåne"
259000,"Företag","Diesel","Automat",16600,2018,"Suv","Fyrhjulsdriven",240,"Svart","Volkswagen","tiguan","Skåne"
110000,"Privat","Bensin","Manuell",12000,2016,"Halvkombi","Tvåhjulsdriven",111,"Svart","Volkswagen","golf","Skåne"
389000,"Företag","Miljöbränsle/Hybrid","Automat",500,2022,"Suv","Tvåhjulsdriven",245,"Grå","Volkswagen","tiguan","Skåne"
