Salesprice,Seller,Fueltype,Gearbox,Mileage,Year,Cartype,Drivetype,Horspower,Color,Brand,Modell,Region
119800,Företag,Bensin,Automat,10527,2012,Halvkombi,Tvåhjulsdriven,123,Vit,Volkswagen,Golf,Östergötland
109800,Företag,Bensin,Manuell,10854,2017,Halvkombi,Tvåhjulsdriven,90,Silver,Volkswagen,Polo,Östergötland
199800,Företag,Bensin,Automat,13398,2018,SUV,Fyrhjulsdriven,150,Ljusblå,Volkswagen,Tiguan,Östergötland
164900,Företag,Diesel,Automat,11588,2019,Kombi,Tvåhjulsdriven,116,Vit,Volkswagen,Golf,Östergötland
179900,Företag,Miljöbränsle/Hybrid,Automat,16200,2018,Halvkombi,Tvåhjulsdriven,204,Mörkblå,Volkswagen,Golf,Östergötland
134800,Företag,Diesel,Automat,21420,2015,Kombi,Fyrhjulsdriven,191,Vit,Volkswagen,Passat,Östergötland
349800,Företag,El,Automat,7399,2021,SUV,Tvåhjulsdriven,204,Mörkgrå,Volkswagen,ID.4,Östergötland
219700,Företag,Bensin,Automat,13494,2018,SUV,Fyrhjulsdriven,191,Svart,Volkswagen,T-Roc,Östergötland
89900,Företag,Diesel,Manuell,18557,2015,Kombi,Tvåhjulsdriven,111,Vit,Volkswagen,Golf,Östergötland
149900,Företag,Diesel,Automat,16400,2017,SUV,Fyrhjulsdriven,181,Vit,Volkswagen,Golf,Östergötland
48000,Privat,Diesel,Manuell,24387,2012,Halvkombi,Tvåhjulsdriven,105,Grå,Volkswagen,Golf,Östergötland
89900,Företag,Bensin,Manuell,7498,2013,Halvkombi,Tvåhjulsdriven,90,Svart,Volkswagen,Polo,Östergötland
12000,Privat,Bensin,Manuell,20490,2006,Halvkombi,Tvåhjulsdriven,102,Silver,Volkswagen,Golf,Östergötland
149800,Företag,Bensin,Manuell,8924,2018,Halvkombi,Tvåhjulsdriven,111,Vit,Volkswagen,Golf,Östergötland
288900,Företag,Diesel,Automat,13349,2019,SUV,Fyrhjulsdriven,191,Blå,Volkswagen,Tiguan,Östergötland
169800,Företag,Diesel,Automat,17151,2017,Kombi,Fyrhjulsdriven,191,Vit,Volkswagen,Passat,Östergötland
128900,Företag,Diesel,Automat,24025,2017,Kombi,Tvåhjulsdriven,150,Vit,Volkswagen,Golf,Östergötland
309900,Företag,Miljöbränsle/Hybrid,Automat,5540,2022,Kombi,Tvåhjulsdriven,218,Vit,Volkswagen,Passat,Östergötland
139900,Företag,Bensin,Automat,11300,2014,Halvkombi,Tvåhjulsdriven,126,Röd,Volkswagen,Golf,Östergötland
229900,Företag,Miljöbränsle/Hybrid,Automat,6780,2020,Halvkombi,Tvåhjulsdriven,204,Mörkgrå,Volkswagen,Golf,Östergötland
229900,Företag,Bensin,Automat,5846,2022,SUV,Tvåhjulsdriven,111,Vit,Volkswagen,T-Cross,Östergötland
299900,Företag,Miljöbränsle/Hybrid,Automat,6977,2022,Kombi,Tvåhjulsdriven,218,Vit,Volkswagen,Passat,Östergötland
25000,Företag,Bensin,Manuell,18681,2008,Kombi,Tvåhjulsdriven,141,Röd,Volkswagen,Golf,Östergötland
179800,Företag,Bensin,Automat,10427,2017,Kombi,Tvåhjulsdriven,150,Svart,Volkswagen,Golf,Östergötland
89900,Företag,Diesel,Manuell,18200,2016,Kombi,Tvåhjulsdriven,111,Vit,Volkswagen,Golf,Östergötland
209800,Företag,Miljöbränsle/Hybrid,Automat,10616,2016,Kombi,Tvåhjulsdriven,218,Vit,Volkswagen,Passat,Östergötland
244900,Företag,Bensin,Automat,2242,2022,Kombi,Tvåhjulsdriven,111,Svart,Volkswagen,T-Cross,Östergötland
279000,Företag,Diesel,Automat,11053,2020,SUV,Fyrhjulsdriven,191,Vit,Volkswagen,Tiguan,Östergötland
235000,Privat,Bensin,Automat,14396,2016,Kombi,Fyrhjulsdriven,301,Vit,Volkswagen,Golf,Östergötland
69000,Privat,Bensin,Automat,23958,2021,Coupé,Tvåhjulsdriven,161,Vit,Volkswagen,Passat,Östergötland
94900,Företag,Diesel,Manuell,13040,2013,Halvkombi,Tvåhjulsdriven,105,Svart,Volkswagen,Golf,Östergötland
144800,Företag,Diesel,Manuell,14600,2016,Kombi,Tvåhjulsdriven,150,Vit,Volkswagen,Passat,Östergötland
378800,Företag,Diesel,Automat,2344,2022,Kombi,Fyrhjulsdriven,200,Svart,Volkswagen,Passat,Östergötland
319900,Företag,Diesel,Automat,9974,2021,Kombi,Fyrhjulsdriven,200,Svart,Volkswagen,Passat,Östergötland
289900,Företag,Bensin,Automat,15479,2022,Familjebuss,Tvåhjulsdriven,150,Silver,Volkswagen,Sharan,Östergötland
2650000,Privat,Bensin,Manuell,86,2018,Halvkombi,Fyrhjulsdriven,272,Vit,Volkswagen,Polo,Östergötland
31500,Privat,Bensin,Manuell,13648,2003,Halvkombi,Tvåhjulsdriven,105,Blå,Volkswagen,Golf,Östergötland
269900,Företag,Miljöbränsle/Hybrid,Automat,6655,2020,Kombi,Tvåhjulsdriven,218,Svart,Volkswagen,Passat,Östergötland
31000,Privat,Bensin,Manuell,23142,2006,Halvkombi,Tvåhjulsdriven,102,Blå,Volkswagen,Golf,Östergötland
13000,Privat,Bensin,Manuell,16877,2002,Kombi,Tvåhjulsdriven,150,Blå,Volkswagen,Passat,Östergötland
188700,Företag,Miljöbränsle/Hybrid,Automat,13037,2018,Kombi,Tvåhjulsdriven,218,Vit,Volkswagen,Passat,Östergötland
144800,Företag,Diesel,Automat,16785,2017,Kombi,Tvåhjulsdriven,116,Vit,Volkswagen,Golf,Östergötland
89800,Företag,Bensin,Manuell,6430,2016,Halvkombi,Tvåhjulsdriven,75,Svart,Volkswagen,UP,Östergötland
174800,Företag,Diesel,Automat,14109,2016,Kombi,Fyrhjulsdriven,191,Silver,Volkswagen,Passat,Östergötland
299800,Företag,Diesel,Automat,9673,2018,SUV,Fyrhjulsdriven,191,Vit,Volkswagen,Tiguan,Östergötland
239800,Företag,Diesel,Automat,11882,2017,SUV,Fyrhjulsdriven,191,Mörkgrön,Volkswagen,Tiguan,Östergötland
139800,Företag,Bensin,Automat,8319,2012,Halvkombi,Tvåhjulsdriven,200,Vit,Volkswagen,Beetle,Östergötland
55000,Privat,Miljöbränsle/Hybrid,Manuell,24983,2014,Kombi,Tvåhjulsdriven,161,Blå,Volkswagen,Passat,Östergötland
17000,Privat,Bensin,Manuell,26594,2002,Halvkombi,Tvåhjulsdriven,105,Röd,Volkswagen,Golf,Östergötland
195000,Privat,Diesel,Automat,16200,2018,Kombi,Fyrhjulsdriven,191,Grå,Volkswagen,Passat,Östergötland
89900,Företag,Bensin,Manuell,22022,2013,SUV,Fyrhjulsdriven,161,Vit,Volkswagen,Tiguan,Östergötland
100000,Privat,Diesel,Automat,21865,2013,Kombi,Fyrhjulsdriven,170,Brun,Volkswagen,Passat,Östergötland
248900,Företag,Diesel,Automat,7106,2019,SUV,Fyrhjulsdriven,150,Vit,Volkswagen,T-Roc,Östergötland
139800,Företag,Bensin,Manuell,14877,2017,Kombi,Tvåhjulsdriven,150,Vit,Volkswagen,Golf,Östergötland
219800,Företag,Diesel,Automat,4386,2019,Halvkombi,Tvåhjulsdriven,116,Vit,Volkswagen,Golf,Östergötland
